"Interrogation Site Code","Interrogation Site Name","Interrogation Site Long Name","Int Site Start Date","Int Site End Date","Int Site Active","Site Type Name","Interrogation Site Subbasin Code","Interrogation Site Subbasin Name","Interrogation Site Location Start","Interrogation Site Location End","Interrogation Site Location Latitude","Interrogation Site Location Longitude","Interrogation Site Location RKM","Interrogation Site Location RKM Total","Data Steward Name","Steward Email","Steward Phone","Steward Organization","Interrogation Site Basin Name","New Metric"
"MSB","Stansberry side channel Methow","MSB - Stansberry side channel Methow","8/13/2015","8/9/2017","0","Instream Remote Detection System","17020008","Methow","8/13/2015","8/9/2017","48.532580","-120.322910","843.098","941","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","Upper Columbia","1"
"MSC","Methow River Side Channels","MSC - Methow River Side Channels","1/1/2009","8/12/2010","0","Instream Remote Detection System","17020008","Methow","1/1/2009","8/12/2010","48.405633","-120.136004","843.071","914","Kyle Martens","Kyle.Martens@dnr.wa.gov","360-902-1272","WDNR","Upper Columbia","1"
"MSH","Methow Fish Hatchery Outfall","MSH - Methow Fish Hatchery Outfall","4/15/2011","","1","Instream Remote Detection System","17020008","Methow","4/15/2011","","48.476747","-120.204967","843.085","928","Charles Snow","Charles.Snow@dfw.wa.gov","509-997-0048","WDFW","Upper Columbia","1"
"MTD","Mill Creek at The Dalles","MTD - Mill Creek at The Dalles","4/22/2015","","1","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/22/2015","","45.595413","-121.204525","304.003","307","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Middle Columbia","1"
"MTP","Twisp Acclimation Pond","MTP - Twisp Acclimation Pond","3/15/2019","","1","Monitored Fish Release","17020008","Methow","3/15/2019","","48.380412","-120.244062","843.066.013","922","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"MTR","Middle Tucannon River","MTR - Middle Tucannon River","9/23/2011","","1","Instream Remote Detection System","17060107","Lower Snake-Tucannon","9/23/2011","","46.505239","-118.016274","522.100.019","641","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Lower Snake","1"
"MVF","Moving Falls Fish Ladder","MVF - Moving Falls Fish Ladder","7/29/2015","","1","Adult Fishway","17070105","Middle Columbia-Hood","7/29/2015","","45.572479","-121.657187","273.020.004","297","Ryan Gerstenberger","ryan.gerstenberger@ctwsbnr.org","541-352-9326","CTWSR","Middle Columbia","1"
"MVP","Mid-Valley Acclimation Pond","MVP - Mid-Valley Acclimation Pond","3/23/2012","","1","Monitored Fish Release","17020008","Methow","3/23/2012","","48.504212","-120.256140","843.088","931","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"MWC","Maxwell Canal","MWC - Maxwell Canal","3/1/2007","","1","Instream Remote Detection System","17070103","Umatilla","3/1/2007","","45.799487","-119.341847","465.024","489","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"MWE","Middle Wenatchee River","MWE - Middle Wenatchee River","3/28/2008","10/14/2013","0","Instream Remote Detection System","17020011","Wenatchee","3/28/2008","10/14/2013","47.623026","-120.726203","754.050","804","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"MWF","Whitefish SC in Methow River","MWF - Whitefish SC in Methow River","12/17/2013","10/8/2018","0","Instream Remote Detection System","17020008","Methow","12/17/2013","10/8/2018","48.446048","-120.160572","843.076","919","Jennifer Molesworth","jmolesworth@usbr.gov","509-997-0028","BOR","Upper Columbia","1"
"NAL","Lower Nason Creek","NAL - Lower Nason Creek","4/1/2008","","1","Instream Remote Detection System","17020011","Wenatchee","4/1/2008","","47.802494","-120.713574","754.089.001","844","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"NAS","Nason Creek Releases","NAS - Nason Creek Releases","4/13/2015","5/14/2015","0","Monitored Fish Release","17020011","Wenatchee","4/13/2015","5/14/2015","47.767420","-120.800302","754.089.013","856","Eric Lauver","elauver@gcpud.org","509-797-5175","GPUD","Upper Columbia","1"
"NAU","Upper Nason Creek","NAU - Upper Nason Creek","10/1/2007","","1","Instream Remote Detection System","17020011","Wenatchee","10/1/2007","","47.785981","-120.848546","754.089.019","862","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"NBA","Nursery Bridge Adult","NBA - Nursery Bridge Adult","10/3/2003","","1","Instream Remote Detection System","17070102","Walla Walla","10/3/2003","","45.945399","-118.384451","509.072","581","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"NES","Nespelem River Instream Array","NES - Nespelem River Instream Array","10/8/2018","","1","Instream Remote Detection System","17020005","Chief Joseph","10/8/2018","","48.129295","-119.033321","928.001","929","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"NFS","North Fork Salmon River","NFS - North Fork Salmon River","11/18/2015","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","11/18/2015","9/23/2021","45.408645","-113.992002","522.303.381.001","1207","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"NFS","North Fork Salmon River","NFS - North Fork Salmon River","11/18/2015","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","9/23/2021","","45.417558","-113.994089","522.303.381.002","1208","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"NFT","North Fork Teanaway River","NFT - North Fork Teanaway River","1/13/2012","11/30/2015","0","Instream Remote Detection System","17030001","Upper Yakima","1/13/2012","11/30/2015","47.252880","-120.879130","539.284.017.001","841","Gabriel Temple","gabriel.temple@dfw.wa.gov","509-933-6080","WDFW","Yakima","1"
"NFW","North Fork Walla Walla River","NFW - North Fork Walla Walla River","5/18/2012","4/19/2013","0","Instream Remote Detection System","17070102","Walla Walla","5/18/2012","4/19/2013","45.898661","-118.304099","509.081.001","591","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"NMC","Ninemile Creek Instream Array","NMC - Ninemile Creek Instream Array","2/12/2011","","1","Instream Remote Detection System","17020006","Okanogan","2/12/2011","","48.970542","-119.418187","858.134.001","993","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"NSB","N Santiam at Upper Bennett Dam","NSB - N Santiam at Upper Bennett Dam","7/10/2014","5/31/2019","0","Adult Fishway","17090005","North Santiam","7/10/2014","5/31/2019","44.787677","-122.742281","163.174.019.030","386","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"NSM","Minto Dam Ladder N Santiam R","NSM - Minto Dam Ladder N Santiam R","5/26/2016","4/26/2019","0","Adult Fishway","17090005","North Santiam","5/26/2016","4/26/2019","44.757781","-122.360141","163.174.019.069","425","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"NSS","North Santiam at Stayton Canal","NSS - North Santiam at Stayton Canal","7/10/2014","5/31/2019","0","Instream Remote Detection System","17090005","North Santiam","7/10/2014","5/31/2019","44.796239","-122.780642","163.174.019.027","383","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"OBF","Omak Creek below Mission Falls","OBF - Omak Creek below Mission Falls","2/1/2016","","1","Instream Remote Detection System","17020006","Okanogan","2/1/2016","","48.369997","-119.442154","858.052.011","921","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"OKC","Okanagan Channel at VDS-3","OKC - Okanagan Channel at VDS-3","11/6/2009","","1","Instream Remote Detection System","17020006","Okanogan","11/6/2009","","49.114113","-119.565753","858.149","1007","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKI","Inkaneep Creek ","OKI - Inkaneep Creek ","4/27/2015","","1","Instream Remote Detection System","17020006","Okanogan","4/27/2015","","49.078005","-119.502007","858.139.001","998","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKL","Lower Okanogan Instream Array","OKL - Lower Okanogan Instream Array","3/15/2013","","1","Instream Remote Detection System","17020006","Okanogan","3/15/2013","","48.268710","-119.728135","858.025","883","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"OKM","McIntyre Dam","OKM - McIntyre Dam","7/8/2019","","1","Instream Remote Detection System","17020006","Okanogan","7/8/2019","","49.256852","-119.528255","858.166","1024","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKP","Penticton Channel PIT Array","OKP - Penticton Channel PIT Array","11/29/2017","","1","Instream Remote Detection System","17020006","Okanogan","11/29/2017","","49.485154","-119.605904","858.196","1054","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKS","Shingle Creek","OKS - Shingle Creek","7/29/2015","","1","Instream Remote Detection System","17020006","Okanogan","7/29/2015","","49.479191","-119.607555","858.195.001","1054","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKV","Vasuex Creek, BC, Canada","OKV - Vasuex Creek, BC, Canada","3/23/2018","","1","Instream Remote Detection System","17020006","Okanogan","3/23/2018","","49.244904","-119.528391","858.163.001","1022","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OKW","Shuttleworth Creek","OKW - Shuttleworth Creek","7/30/2015","","1","Instream Remote Detection System","17020006","Okanogan","7/30/2015","","49.338172","-119.575719","858.175.001","1034","Carley Simpson","csimpson@syilx.org","","ONA","Upper Columbia","1"
"OMF","Omak Creek above Mission Falls","OMF - Omak Creek above Mission Falls","3/3/2015","","1","Instream Remote Detection System","17020006","Okanogan","3/3/2015","","48.370177","-119.434080","858.052.012","922","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"OMH","Omak Creek Haley Creek Road","OMH - Omak Creek Haley Creek Road","3/17/2021","","1","Instream Remote Detection System","17020006","Okanogan","3/17/2021","","48.351625","-119.335753","858.052.020","930","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"OMK","Omak Creek Instream Array","OMK - Omak Creek Instream Array","1/1/2006","","1","Instream Remote Detection System","17020006","Okanogan","1/1/2006","","48.405363","-119.501430","858.052.000","910","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"OMP","Omak Acclimation Pond","OMP - Omak Acclimation Pond","4/15/2015","","1","Monitored Fish Release","17020006","Okanogan","4/15/2015","","48.405630","-119.498926","858.052","910","Andrea Pearl","andrea.pearl@colvilletribes.com","509-422-7437","CCT","Upper Columbia","1"
"ONC","Onion Creek Upper Columbia","ONC - Onion Creek Upper Columbia","5/5/2015","","1","Instream Remote Detection System","17020001","Franklin D. Roosevelt Lake","5/5/2015","","48.870808","-117.843906","1171.001","1172","Charles Lee","charles.lee@dfw.wa.gov","509-892-1001 x303","WDFW","Upper Columbia","1"
"ORB","Oasis Road Bridge","ORB - Oasis Road Bridge","4/15/2005","5/4/2015","0","Instream Remote Detection System","17070102","Walla Walla","4/15/2005","5/4/2015","46.072797","-118.816734","509.010","519","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"PAT","Pattit Creek Instream Site","PAT - Pattit Creek Instream Site","11/17/2016","","1","Instream Remote Detection System","17070102","Walla Walla","11/17/2016","","46.327536","-117.974028","509.035.101.001","646","Todd Miller","Todd.Miller@dfw.wa.gov","509-382-4755","WDFW","Middle Columbia","1"
"PCA","Panther Creek Array","PCA - Panther Creek Array","7/27/2017","","1","Instream Remote Detection System","17060203","Middle Salmon-Panther","7/27/2017","","45.295253","-114.358101","522.303.338.005","1168","Lytle Denny","ldenny@sbtribes.com","208-239-4560","SHOBAN","Salmon","1"
"PCM","Pine Creek Mouth, Potlatch R.","PCM - Pine Creek Mouth, Potlatch R.","10/1/2015","","1","Instream Remote Detection System","17060306","Clearwater","10/1/2015","","46.630673","-116.596836","522.224.024.028.001","799","Brian Knoth","Brian.Knoth@idfg.idaho.gov","208-750-4230","IDFG","Clearwater","1"
"PD1","Top of Chelan PUD side channel","PD1 - Top of Chelan PUD side channel","4/3/2012","6/14/2013","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/3/2012","6/14/2013","47.669110","-120.284340","778.005","783","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"PD2","Bot of Chelan PUD side channel","PD2 - Bot of Chelan PUD side channel","4/3/2012","6/6/2013","0","Instream Remote Detection System","17020010","Upper Columbia-Entiat","4/3/2012","6/6/2013","47.667974","-120.281570","778.005","783","Tom Desgroseillier","thomas.desgroseillier@dfw.wa.gov","509-669-4572","WDFW","Upper Columbia","1"
"PD6","Columbia River Estuary rkm 68","PD6 - Columbia River Estuary rkm 68","4/29/2022","","1","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","4/29/2022","","46.152328","-123.385374","068","68","Kara Jaenecke","kara.jaenecke@noaa.gov","585-406-6278","NMFS","Lower Columbia","1"
"PD7","Columbia River Estuary rkm 70","PD7 - Columbia River Estuary rkm 70","8/8/2011","","1","Instream Remote Detection System","17080003","Lower Columbia-Clatskanie","8/8/2011","","46.146610","-123.379867","070","70","Kara Jaenecke","kara.jaenecke@noaa.gov","585-406-6278","NMFS","Lower Columbia","1"
"PEL","Pelton Dam Ladder - Deschutes","PEL - Pelton Dam Ladder - Deschutes","3/30/2016","","1","Monitored Fish Release","17070306","Lower Deschutes","3/30/2016","","44.725865","-121.247167","328.161","489","Ryan Moon","roundbuttehatchery@odfw.oregon.gov","541-325-5327","ODFW","Deschutes","1"
"PES","Peshastin Creek","PES - Peshastin Creek","5/1/2007","","1","Instream Remote Detection System","17020011","Wenatchee","5/1/2007","","47.548491","-120.609887","754.029.003","786","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"PEU","Upper Peshastin Creek","PEU - Upper Peshastin Creek","3/22/2016","","1","Instream Remote Detection System","17020011","Wenatchee","3/22/2016","","47.447973","-120.657430","754.029.017","800","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"PRA","Priest Rapids Adult","PRA - Priest Rapids Adult","12/6/2002","","1","Adult Fishway","17020016","Upper Columbia-Priest Rapids","12/6/2002","","46.644339","-119.910442","639","639","Rod O'Connor","roconnor@gcpud.org","","GPUD","Upper Columbia","1"
"PRH","Priest Rapids Hatchery Outfall","PRH - Priest Rapids Hatchery Outfall","5/6/2012","","1","Instream Remote Detection System","17020016","Upper Columbia-Priest Rapids","5/6/2012","","46.631531","-119.872923","635","635","Jay Deason","jay.deason@dfw.wa.gov","509-664-3148 x22","WDFW","Upper Columbia","1"
"PRJ","Prosser Dam (Chandler Dvrsn.)","PRJ - Prosser Dam (Chandler Dvrsn.)","4/25/1989","7/3/2004","0","Juvenile Fish Bypass Facility","17030003","Lower Yakima","4/25/1989","7/3/2004","46.215366","-119.757556","539.076","615","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"PRO","Prosser Diversion Dam Combined","PRO - Prosser Diversion Dam Combined","10/19/2004","","1","Combined Dam Location","17030003","Lower Yakima","10/19/2004","","46.212539","-119.772663","539.076","615","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"PRV","Walla Walla R at Pierce RV Prk","PRV - Walla Walla R at Pierce RV Prk","9/25/2012","4/8/2019","0","Instream Remote Detection System","17070102","Walla Walla","9/25/2012","4/8/2019","46.068014","-118.825796","509.009","518","Travis Olsen","travisolsen@ctuir.org","541-429-7542","CTUIR","Middle Columbia","1"
"RBF","Round Butte Fish Xfer Facility","RBF - Round Butte Fish Xfer Facility","3/1/2009","","1","Instream Juvenile Fish Trap","17070301","Upper Deschutes","3/1/2009","","44.602185","-121.280384","328.177","505","Rich Madden","rich.madden@pgn.com","541-325-5364","PGE","Deschutes","1"
"RCJ","Rock Creek John Day Basin","RCJ - Rock Creek John Day Basin","9/30/2014","","1","Instream Remote Detection System","17070204","Lower John Day","9/30/2014","","45.575590","-120.379880","351.034.002","387","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","John Day","1"
"RCL","Rock Creek (WA) at rkm 5","RCL - Rock Creek (WA) at rkm 5","11/1/2009","","1","Instream Remote Detection System","17070101","Middle Columbia-Lake Wallula","11/1/2009","","45.737850","-120.432964","368.005","373","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","Middle Columbia","1"
"RCS","Rock Creek (WA) at rkm 14","RCS - Rock Creek (WA) at rkm 14","11/1/2009","7/18/2022","0","Instream Remote Detection System","17070101","Middle Columbia-Lake Wallula","11/1/2009","7/18/2022","45.795091","-120.464524","368.014","382","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","Middle Columbia","1"
"RCT","Roaring Creek Temporary Array","RCT - Roaring Creek Temporary Array","3/1/2011","","1","Instream Remote Detection System","17020010","Upper Columbia-Entiat","3/1/2011","","47.689304","-120.321980","778.010.001","789","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"RCX","Rattlesnake Creek Flat Plates","RCX - Rattlesnake Creek Flat Plates","8/21/2001","6/2/2007","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","8/21/2001","6/2/2007","45.797289","-121.482125","271.012.000","283","Ian Jezorek","ijezorek@usgs.gov","509-528-2908","USGS","Middle Columbia","1"
"RFL","Redfish Lake Creek","RFL - Redfish Lake Creek","4/1/2018","","1","Instream Remote Detection System","17060201","Upper Salmon","4/1/2018","","44.164727","-114.905043","522.303.615.001","1441","Eric Johnson","eric.johnson@idfg.idaho.gov","208-939-6713","IDFG","Salmon","1"
"RFP","Rolfing Acclimation Pond","RFP - Rolfing Acclimation Pond","1/1/2004","","1","Monitored Fish Release","17020011","Wenatchee","1/1/2004","","47.785040","-120.878984","754.089.021","864","Jeffrey Caisman","caij@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"RIA","Rock Island Adult","RIA - Rock Island Adult","2/1/2003","","1","Adult Fishway","17020010","Upper Columbia-Entiat","2/1/2003","","47.343278","-120.093300","730","730","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","Upper Columbia","1"
"ROZ","Roza Diversion Dam (Combined)","ROZ - Roza Diversion Dam (Combined)","3/26/1992","","1","Combined Dam Location","17030001","Upper Yakima","3/26/1992","","46.749064","-120.465766","539.206","745","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"RPJ","Rapid River Hatchery Pond","RPJ - Rapid River Hatchery Pond","4/19/1999","","1","Monitored Fish Release","17060210","Little Salmon","4/19/1999","","45.353681","-116.394575","522.303.140.007.006","978","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Salmon","1"
"RRF","Rocky Reach Fishway","RRF - Rocky Reach Fishway","3/1/2006","","1","Adult Fishway","17020010","Upper Columbia-Entiat","3/1/2006","","47.531519","-120.300387","763","763","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","Upper Columbia","1"
"RRJ","Rocky Reach Dam Juvenile","RRJ - Rocky Reach Dam Juvenile","4/10/1996","","1","Juvenile Fish Bypass Facility","17020010","Upper Columbia-Entiat","4/10/1996","","47.531967","-120.299618","763","763","Thad Mosey","thad.mosey@chelanpud.org","509-661-4451","CPUD","Upper Columbia","1"
"RRT","Red River Satellite Facility","RRT - Red River Satellite Facility","1/5/2012","5/27/2015","0","Hatchery Returns","17060305","South Fork Clearwater","1/5/2012","5/27/2015","45.711179","-115.347147","522.224.120.101.027","994","Matt Belnap","Matt.Belnap@idfg.idaho.gov","208-854-8902","IDFG","Clearwater","1"
"RSB","Roosevelt Street Bridge","RSB - Roosevelt Street Bridge","6/30/2010","6/6/2011","0","Instream Remote Detection System","17070102","Walla Walla","6/30/2010","6/6/2011","46.069076","-118.311976","509.054.015","578","Will Simpson","william_simpson@fws.gov","360-604-2500","USFWS","Middle Columbia","1"
"RSH","Ringold Springs Hatch. Outfall","RSH - Ringold Springs Hatch. Outfall","1/1/2016","","1","Instream Remote Detection System","17020016","Upper Columbia-Priest Rapids","1/1/2016","","46.510622","-119.260909","567","567","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Upper Columbia","1"
"RVP","Riverside Acclimation Pond","RVP - Riverside Acclimation Pond","4/15/2015","","1","Monitored Fish Release","17020006","Okanogan","4/15/2015","","48.495093","-119.489821","858.064","922","Andrea Pearl","andrea.pearl@colvilletribes.com","509-422-7437","CCT","Upper Columbia","1"
"RZF","Roza Dam Fishway","RZF - Roza Dam Fishway","9/1/2007","3/22/2011","0","Adult Fishway","17030001","Upper Yakima","9/1/2007","3/22/2011","46.748820","-120.465031","539.206","745","Nicole Tancreto","ntancreto@psmfc.org","503-595-3141","PSMFC","Yakima","1"
"S2I","Lemhi Sub-reach 2 SC Inlet","S2I - Lemhi Sub-reach 2 SC Inlet","6/29/2017","6/14/2019","0","Instream Remote Detection System","17060204","Lemhi","6/29/2017","6/14/2019","45.109457","-113.742696","522.303.416.018","1259","Stacey Feeken","stacey.feeken@idfg.idaho.gov","208-756-2271","IDFG","Salmon","1"
"S2O","Lemhi Sub-reach 2 SC Outlet","S2O - Lemhi Sub-reach 2 SC Outlet","6/29/2017","3/20/2019","0","Instream Remote Detection System","17060204","Lemhi","6/29/2017","3/20/2019","45.111257","-113.746418","522.303.416.017","1258","Stacey Feeken","stacey.feeken@idfg.idaho.gov","208-756-2271","IDFG","Salmon","1"
"S3A","Eagle Valley Ranch S3A","S3A - Eagle Valley Ranch S3A","12/15/2019","","1","Instream Remote Detection System","17060204","Lemhi","12/15/2019","","45.113170","-113.755600","522.303.416.016","1257","Stacey Feeken","stacey.feeken@idfg.idaho.gov","208-756-2271","IDFG","Salmon","1"
"S3B","Eagle Valley Ranch S3B","S3B - Eagle Valley Ranch S3B","10/1/2019","","1","Instream Remote Detection System","17060204","Lemhi","10/1/2019","","45.112770","-113.749870","522.303.416.017","1258","Stacey Feeken","stacey.feeken@idfg.idaho.gov","208-756-2271","IDFG","Salmon","1"
"SA0","Salmon Creek below OID Div.","SA0 - Salmon Creek below OID Div.","2/1/2016","","1","Instream Remote Detection System","17020006","Okanogan","2/1/2016","","48.401726","-119.616082","858.041.006","905","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"SA1","Salmon Creek Instream Array","SA1 - Salmon Creek Instream Array","2/8/2011","","1","Instream Remote Detection System","17020006","Okanogan","2/8/2011","1/11/2018","48.378992","-119.590647","858.041.003","902","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"SA1","Salmon Creek Instream Array","SA1 - Salmon Creek Instream Array","2/8/2011","","1","Instream Remote Detection System","17020006","Okanogan","1/11/2018","","48.370348","-119.594339","858.041.002","901","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"SAD","Salmon Creek Above OID Div.","SAD - Salmon Creek Above OID Div.","3/31/2022","","1","Instream Remote Detection System","17020006","Okanogan","3/31/2022","","48.414801","-119.626519","858.041.009","908","Randy Johnson","Randy.Johnson.FNW@colvilletribes.com","509-422-7454","CCT","Upper Columbia","1"
"SAJ","Salmon River Trap","SAJ - Salmon River Trap","3/28/1993","","1","Instream Juvenile Fish Trap","17060209","Lower Salmon","3/28/1993","","45.662926","-116.292211","522.303.103","928","Scott Putnam","scott.putnam@idfg.idaho.gov","208-799-5010","IDFG","Salmon","1"
"SAT","Lower Satus Creek","SAT - Lower Satus Creek","1/2/2012","","1","Instream Remote Detection System","17030003","Lower Yakima","1/2/2012","","46.275188","-120.137698","539.112.005","656","Zack Mays","zack_mays@yakama.com","","YINN","Yakima","1"
"SC1","Lower SF Clearwater R at rkm 1","SC1 - Lower SF Clearwater R at rkm 1","8/18/2011","","1","Instream Remote Detection System","17060305","South Fork Clearwater","8/18/2011","","46.137022","-115.981313","522.224.120.001","867","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Clearwater","1"
"SC2","Lower SF Clearwater R at rkm 2","SC2 - Lower SF Clearwater R at rkm 2","9/19/2011","","1","Instream Remote Detection System","17060305","South Fork Clearwater","9/19/2011","","46.127209","-115.977760","522.224.120.002","868","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Clearwater","1"
"SC3","South Fork Clearwater Site 3","SC3 - South Fork Clearwater Site 3","8/23/2021","","1","Instream Remote Detection System","17060305","South Fork Clearwater","8/23/2021","","45.814145","-115.815972","522.224.120.060","926","","","","","Clearwater","1"
"SC4","South Fork Clearwater Site 4","SC4 - South Fork Clearwater Site 4","8/23/2021","","1","Instream Remote Detection System","17060305","South Fork Clearwater","8/23/2021","","45.823500","-115.634100","522.224.120.081","947","","","","","Clearwater","1"
"SCL","Spring Creek NFH Adult Ladder","SCL - Spring Creek NFH Adult Ladder","8/25/2010","","1","Hatchery Returns","17070105","Middle Columbia-Hood","8/25/2010","","45.727501","-121.544389","269","269","Rikeem Sholes","rikeem_sholes@fws.gov","504-982-5075","USFWS","Middle Columbia","1"
"SCP","Spring Creek Acclimation Pond","SCP - Spring Creek Acclimation Pond","3/1/2008","","1","Instream Remote Detection System","17020008","Methow","3/1/2008","","48.474775","-120.185131","843.081","924","Matt Cooper","Matt_cooper@fws.gov","509-548-7573","USFWS","Upper Columbia","1"
"SFG","SF Salmon at Guard Station Br.","SFG - SF Salmon at Guard Station Br.","3/1/2009","","1","Instream Remote Detection System","17060208","South Fork Salmon","3/1/2009","","45.175659","-115.579712","522.303.215.030","1070","Brett Turley","brett.turley@merck.com","208-841-2562","BIOMRK","Salmon","1"
"SFL","Shipherd Falls Ladder","SFL - Shipherd Falls Ladder","4/1/2009","11/1/2010","0","Instream Remote Detection System","17070105","Middle Columbia-Hood","4/1/2009","11/1/2010","45.737978","-121.805784","251.002","253","Charlie Cochran","cochrpcc@dfw.wa.gov","509-427-7481","WDFW","Middle Columbia","1"
"SGP","SF Gold Creek Pond Complex","SGP - SF Gold Creek Pond Complex","2/7/2013","6/11/2018","0","Monitored Fish Release","17020008","Methow","2/7/2013","6/11/2018","48.178095","-120.120838","843.035.002.003","883","Danielle Grundy","grund@yakamafish-nsn.gov","","YINN","Upper Columbia","1"
"SHK","Shitike Creek PIT Array","SHK - Shitike Creek PIT Array","2/24/2014","","1","Instream Remote Detection System","17070306","Lower Deschutes","2/24/2014","","44.764941","-121.243566","328.155.001","484","Lyman Jim","lyman.jim@ctwsbnr.org","541-553-3587","CTWSR","Deschutes","1"
"SHP","Swift Hydroelectric Project","SHP - Swift Hydroelectric Project","10/21/2016","","1","Juvenile Fish Bypass Facility","17080002","Lewis","10/21/2016","","46.061502","-122.194679","140.070","210","Mark Ferraiolo","mark.ferraiolo@pacificorp.com","360-225-4446","PCE","Lower Columbia","1"
"SID","Sauvie Island Dairy Creek","SID - Sauvie Island Dairy Creek","10/29/2020","","1","Instream Remote Detection System","17090012","Lower Willamette","10/29/2020","","45.702228","-122.782003","156.000","156","Derrek Faber","Derrek.M.FABER@odfw.oregon.gov","541-296-8026","ODFW","Willamette","1"
"SIP","Similkameen Acc. Pond","SIP - Similkameen Acc. Pond","1/1/1996","12/31/1996","0","Monitored Fish Release","17020007","Similkameen","1/1/1996","12/31/1996","48.920456","-119.443537","858.119.008","985","Unknown Contact","","","","Upper Columbia","1"
